label,h1_0_x,h1_0_y,h1_0_z,h1_1_x,h1_1_y,h1_1_z,h1_2_x,h1_2_y,h1_2_z,h1_3_x,h1_3_y,h1_3_z,h1_4_x,h1_4_y,h1_4_z,h1_5_x,h1_5_y,h1_5_z,h1_6_x,h1_6_y,h1_6_z,h1_7_x,h1_7_y,h1_7_z,h1_8_x,h1_8_y,h1_8_z,h1_9_x,h1_9_y,h1_9_z,h1_10_x,h1_10_y,h1_10_z,h1_11_x,h1_11_y,h1_11_z,h1_12_x,h1_12_y,h1_12_z,h1_13_x,h1_13_y,h1_13_z,h1_14_x,h1_14_y,h1_14_z,h1_15_x,h1_15_y,h1_15_z,h1_16_x,h1_16_y,h1_16_z,h1_17_x,h1_17_y,h1_17_z,h1_18_x,h1_18_y,h1_18_z,h1_19_x,h1_19_y,h1_19_z,h1_20_x,h1_20_y,h1_20_z,h2_0_x,h2_0_y,h2_0_z,h2_1_x,h2_1_y,h2_1_z,h2_2_x,h2_2_y,h2_2_z,h2_3_x,h2_3_y,h2_3_z,h2_4_x,h2_4_y,h2_4_z,h2_5_x,h2_5_y,h2_5_z,h2_6_x,h2_6_y,h2_6_z,h2_7_x,h2_7_y,h2_7_z,h2_8_x,h2_8_y,h2_8_z,h2_9_x,h2_9_y,h2_9_z,h2_10_x,h2_10_y,h2_10_z,h2_11_x,h2_11_y,h2_11_z,h2_12_x,h2_12_y,h2_12_z,h2_13_x,h2_13_y,h2_13_z,h2_14_x,h2_14_y,h2_14_z,h2_15_x,h2_15_y,h2_15_z,h2_16_x,h2_16_y,h2_16_z,h2_17_x,h2_17_y,h2_17_z,h2_18_x,h2_18_y,h2_18_z,h2_19_x,h2_19_y,h2_19_z,h2_20_x,h2_20_y,h2_20_z
Boar,0.00000000,0.00000000,0.00000000,-0.63255166,-0.03182793,-0.54899179,-1.04065572,0.26206159,-0.78373905,-1.23556502,0.69119011,-0.88219226,-1.44913672,1.06047441,-0.90742729,-0.46329353,0.74290203,-0.70086585,-0.92763114,1.32534641,-0.84936564,-1.27327695,1.21030354,-0.82119862,-1.32480065,1.00085614,-0.74176338,-0.24501352,0.87551680,-0.41645974,-0.86416297,1.29802022,-0.53056163,-1.17210196,1.10797735,-0.50537700,-1.18808555,0.91630027,-0.45975546,-0.20632178,0.92173389,-0.15212744,-0.74636836,1.26124373,-0.24712976,-1.01904929,1.09978128,-0.23608371,-1.06548060,0.92765970,-0.21721426,-0.25364415,0.93826068,0.07607243,-0.68551422,1.19222464,-0.05200618,-0.91550612,1.05692341,-0.08840427,-0.97154635,0.88820033,-0.08379820,0.00000000,0.00000000,0.00000000,0.58949224,-0.01930091,-0.54190562,1.00080462,0.26738161,-0.75501222,1.18256562,0.66814875,-0.80984446,1.24135892,0.99490748,-0.81184914,0.30765153,0.60336777,-0.93304853,0.73624196,1.15504562,-1.05840027,1.04663450,1.11633101,-0.98937325,1.15424163,0.96933440,-0.91533930,0.11302162,0.72791575,-0.67628749,0.66020723,1.22953346,-0.80660367,0.98897125,1.12475097,-0.73474305,1.06568555,0.92900189,-0.67272992,0.06916166,0.79545655,-0.42430362,0.64302195,1.21757788,-0.56701529,0.84865377,1.04220534,-0.51800606,0.83703390,0.83273139,-0.46813554,0.09479288,0.83825696,-0.20011002,0.54310501,1.12132520,-0.39676474,0.69395338,1.01373341,-0.44083955,0.66955735,0.85347900,-0.43862407
Boar,0.00000000,0.00000000,0.00000000,-0.62996800,-0.06045362,-0.58818099,-1.04941305,0.22156621,-0.84773146,-1.23708751,0.64213676,-0.95925966,-1.41387407,1.02326343,-0.99685333,-0.49801697,0.70370102,-0.78332787,-0.92118978,1.29836565,-0.92805989,-1.27631296,1.19552850,-0.87835534,-1.33288296,0.98494402,-0.77986746,-0.25807507,0.84173745,-0.47421020,-0.86630111,1.27382763,-0.57726746,-1.17610985,1.07601492,-0.52394293,-1.17957199,0.88333236,-0.45826071,-0.19489255,0.89855768,-0.18521945,-0.73970020,1.24182488,-0.26602678,-1.00512822,1.06535828,-0.24233130,-1.02556008,0.88798102,-0.21991786,-0.21828045,0.93340162,0.06490823,-0.67897636,1.16271251,-0.05838429,-0.90213929,1.01791127,-0.09969857,-0.93206537,0.84921397,-0.10199255,0.00000000,0.00000000,0.00000000,0.57384793,0.01704991,-0.49263777,0.95688545,0.31914171,-0.67671823,1.10688985,0.71472439,-0.70081597,1.13004439,1.01501036,-0.67088350,0.31430586,0.64033380,-0.93335094,0.72712978,1.18465211,-1.01838333,1.00921957,1.13072937,-0.89975112,1.09463599,0.95748411,-0.78879825,0.11085631,0.72814682,-0.67639714,0.64788751,1.20441652,-0.77303318,0.93837111,1.09959388,-0.67546695,0.99267362,0.90827927,-0.60039324,0.05604864,0.77279968,-0.41261651,0.60806715,1.16645281,-0.53025788,0.79617096,1.01155789,-0.48169153,0.77605746,0.81212663,-0.43694619,0.07259123,0.79902356,-0.16832454,0.49441985,1.07959546,-0.35157208,0.62608207,0.98884402,-0.39560790,0.59094099,0.83621622,-0.39417878
Boar,0.00000000,0.00000000,0.00000000,-0.65546006,-0.08712136,-0.56707690,-1.09418463,0.21784976,-0.80710265,-1.27578861,0.65927848,-0.89970738,-1.44561019,1.02512495,-0.91688257,-0.48427051,0.66382984,-0.81656072,-0.94449594,1.27393305,-0.98876986,-1.31016842,1.19099007,-0.95777023,-1.37688131,1.00606152,-0.87298680,-0.23053545,0.81959153,-0.52452181,-0.87703499,1.28778823,-0.66314543,-1.20611475,1.11462800,-0.61434979,-1.20943360,0.92124423,-0.54779501,-0.17153805,0.89667353,-0.24896631,-0.75799626,1.27316052,-0.36279134,-1.04409565,1.10223977,-0.32866815,-1.05811388,0.91809625,-0.28984666,-0.20273863,0.94508615,-0.01062048,-0.71134021,1.18817028,-0.16065111,-0.93870893,1.04503281,-0.20017872,-0.96063070,0.87780753,-0.19491521,0.00000000,0.00000000,0.00000000,0.62080920,0.01395007,-0.44581506,1.06285611,0.30972511,-0.63141398,1.23448872,0.68240437,-0.67547406,1.26095808,0.95290150,-0.67844706,0.34124900,0.60554698,-0.90701858,0.68421967,1.19905966,-1.04748033,0.98040738,1.28064335,-0.98430849,1.11757329,1.19907386,-0.89732559,0.08396103,0.72302105,-0.68570483,0.62864454,1.25502036,-0.80840294,0.97635018,1.24822207,-0.71114463,1.09002349,1.07203201,-0.62282130,-0.01345745,0.79573918,-0.46197878,0.59100146,1.24411069,-0.58580543,0.87193484,1.16365795,-0.53452964,0.93300504,0.96469962,-0.47508061,-0.02378875,0.84302475,-0.25679718,0.43544850,1.14043940,-0.42561195,0.63839539,1.10354011,-0.46099180,0.68031581,0.95199412,-0.44715897
Boar,0.00000000,0.00000000,0.00000000,-0.61285222,-0.07584004,-0.51901313,-0.97925411,0.16152797,-0.81370596,-1.16779497,0.50328392,-0.97599417,-1.25152159,0.82572182,-1.07786091,-0.41006744,0.45237627,-0.99822728,-0.79522606,1.02163503,-1.23348403,-1.16186681,1.00685861,-1.21933215,-1.24625089,0.86848433,-1.14963870,-0.16570772,0.61303244,-0.77248442,-0.77293600,1.10213877,-0.99955421,-1.10604265,0.97914550,-0.96279087,-1.10910934,0.80435306,-0.90317246,-0.10300959,0.72616003,-0.54643938,-0.65721175,1.13900676,-0.70768603,-0.95677566,1.01073270,-0.65496076,-0.96274082,0.83566969,-0.60432115,-0.13044828,0.80682285,-0.35309971,-0.58731621,1.08842543,-0.52090476,-0.83319173,0.99585295,-0.54962562,-0.86022192,0.84499374,-0.54474384,0.00000000,0.00000000,0.00000000,0.40074878,-0.10869802,-0.61600432,0.79139844,0.04459463,-0.93953695,1.00539537,0.34655148,-1.09378860,1.02022525,0.63282071,-1.20350536,0.18550431,0.28895528,-1.15090798,0.60099162,0.65517135,-1.41645049,0.89741413,0.70456887,-1.44610900,1.02754760,0.62658345,-1.42773721,0.04798236,0.48742747,-0.87184411,0.59471343,0.86134453,-1.12034565,0.90664788,0.81565490,-1.08240175,0.98481724,0.65709309,-1.03369248,0.05224767,0.62490023,-0.59769432,0.59485728,0.93226885,-0.83155385,0.82940775,0.80361440,-0.78052235,0.84085796,0.61715543,-0.71442944,0.13101021,0.72020150,-0.35422426,0.56828681,0.89176529,-0.59815889,0.72854093,0.80326222,-0.64767964,0.70658072,0.66164258,-0.64192312
Boar,0.00000000,0.00000000,0.00000000,-0.54956855,-0.10956734,-0.53598478,-0.90167627,0.04542558,-0.86874434,-1.08383665,0.36073677,-1.06030459,-1.13688304,0.68590369,-1.19914896,-0.34353749,0.29614129,-1.11159068,-0.68062547,0.81483514,-1.34138894,-1.02907396,0.87828484,-1.27686710,-1.12240354,0.75225829,-1.15820152,-0.10751756,0.47588077,-0.87291321,-0.66852620,0.96645645,-1.08531846,-1.00752814,0.88724521,-0.98498713,-1.03784056,0.72519334,-0.86778173,-0.05120856,0.61509745,-0.62849898,-0.57861104,1.02119968,-0.78181199,-0.88481394,0.91890972,-0.69964243,-0.90649903,0.74851038,-0.62280175,-0.05809536,0.71648903,-0.41379010,-0.49128979,0.96868314,-0.57869080,-0.75276522,0.89789636,-0.60115840,-0.80405033,0.76649384,-0.58479796,0.00000000,0.00000000,0.00000000,0.49021940,-0.14366239,-0.62350165,0.90171748,0.02193026,-0.91734765,1.15218688,0.40911230,-1.05064971,1.22057376,0.76505549,-1.12674389,0.28456953,0.49557648,-0.96423368,0.80068144,0.97548514,-1.16717732,1.17307132,0.91874547,-1.17424745,1.30686630,0.76540326,-1.15798149,0.17405077,0.71645085,-0.67557717,0.85924505,1.09340771,-0.87408138,1.24483067,0.91554963,-0.83835201,1.30699902,0.69075793,-0.79937742,0.20693818,0.83639221,-0.40474757,0.87201842,1.12510511,-0.60990506,1.12275825,0.89046744,-0.57134367,1.09286809,0.66886758,-0.52317743,0.31403084,0.90196596,-0.16919823,0.83342191,1.04073057,-0.40174353,1.00509389,0.87246997,-0.46328421,0.93806543,0.71819821,-0.47021754
Boar,0.00000000,0.00000000,0.00000000,-0.59607475,-0.10999537,-0.52864161,-0.99048060,0.07732314,-0.84366353,-1.17907454,0.41676526,-1.01947998,-1.21325449,0.75046283,-1.13958971,-0.35040761,0.32832026,-1.08137242,-0.69814241,0.86187167,-1.32129772,-1.06005294,0.91590933,-1.27830742,-1.16031133,0.78452038,-1.17630465,-0.10463592,0.51293471,-0.85202659,-0.69924316,1.00893467,-1.08246502,-1.03567296,0.90771089,-1.00035904,-1.04290779,0.72470111,-0.89399398,-0.04473356,0.65229068,-0.61896020,-0.61069810,1.05927518,-0.79538666,-0.91353450,0.92564631,-0.72048966,-0.91210049,0.73538650,-0.64418484,-0.05236777,0.74848470,-0.41522108,-0.53763321,0.98753753,-0.59890136,-0.78543663,0.88769460,-0.62383612,-0.80880074,0.73938833,-0.60728418,0.00000000,0.00000000,0.00000000,0.50180983,-0.20853731,-0.64734262,0.95862188,-0.06684268,-0.94202034,1.24993991,0.33399072,-1.06163251,1.34020406,0.68770044,-1.11436136,0.36635100,0.38490217,-1.04400298,0.93687518,0.83673285,-1.19449563,1.26855672,0.72623974,-1.12476137,1.34411050,0.54086185,-1.06306227,0.24905457,0.62863025,-0.73674679,0.94426520,0.99743458,-0.90677276,1.29359236,0.83806832,-0.84240102,1.33915638,0.64320581,-0.79662968,0.27059956,0.76186170,-0.43801447,0.95709278,1.05754790,-0.61828851,1.17136530,0.83817940,-0.56965019,1.11778997,0.62604212,-0.52870046,0.37615421,0.82909466,-0.17490460,0.91900134,0.97653359,-0.41538267,1.06757680,0.81145990,-0.48926584,0.98217134,0.66422344,-0.51138990
Boar,0.00000000,0.00000000,0.00000000,-0.61721299,-0.11186428,-0.46500920,-1.07088403,0.13498621,-0.72918000,-1.28002682,0.54979231,-0.85876191,-1.32524563,0.90742712,-0.93881307,-0.57589408,0.30625362,-1.02352648,-0.93863757,0.83853522,-1.21820197,-1.26368210,0.94456811,-1.13949310,-1.35926728,0.88910718,-1.02080641,-0.25749359,0.52568033,-0.81077570,-0.81287767,1.12198964,-0.98497594,-1.15735856,1.07326849,-0.85872200,-1.21105958,0.91221112,-0.72629960,-0.11824100,0.68982546,-0.58643231,-0.67170624,1.18312304,-0.74004278,-0.99360130,1.07420313,-0.65015685,-1.02623678,0.88409620,-0.55919121,-0.07580763,0.79333876,-0.38330435,-0.58269171,1.10671419,-0.55611136,-0.84596080,1.01226973,-0.57155570,-0.89353929,0.85521725,-0.54514961,0.00000000,0.00000000,0.00000000,0.49177338,-0.18074353,-0.62590992,0.87169439,0.04267457,-0.87364711,1.05960081,0.46299846,-0.95055609,1.18284202,0.80195652,-0.97563273,0.28307965,0.45984769,-0.98250711,0.82351799,0.89173280,-1.17981597,1.13817630,0.84839755,-1.18786576,1.24413355,0.74077266,-1.17050926,0.21297579,0.67918037,-0.70239258,0.89117423,1.06358716,-0.88888153,1.21965434,0.91229238,-0.85756276,1.28153983,0.71748542,-0.81998695,0.25865656,0.79699355,-0.44024033,0.92797846,1.09499977,-0.63764788,1.12218237,0.87955588,-0.60468328,1.09645054,0.69216709,-0.55847098,0.36382776,0.85257700,-0.21535243,0.88358621,1.00995291,-0.43960653,1.01845891,0.85535218,-0.49372682,0.97183691,0.70800634,-0.49815216
Boar,0.00000000,0.00000000,0.00000000,-0.65537853,-0.04230290,-0.51137755,-1.09001083,0.30184309,-0.70630450,-1.28030476,0.76135445,-0.75490462,-1.38134656,1.12614594,-0.73395404,-0.50370700,0.68104213,-0.79648872,-1.00699254,1.25425196,-0.91985348,-1.34592634,1.12605735,-0.84803582,-1.37521872,0.93362589,-0.73947709,-0.21758347,0.82929177,-0.51471603,-0.83257795,1.34058868,-0.61550498,-1.17360728,1.16443907,-0.55719311,-1.19825845,0.95308074,-0.48868761,-0.13056206,0.89280195,-0.23487333,-0.69711504,1.28204899,-0.31587395,-0.99384016,1.11154738,-0.29228450,-1.02982267,0.91899609,-0.26650325,-0.14105304,0.91184507,0.01641162,-0.65717755,1.16704107,-0.09190642,-0.86056855,1.01163272,-0.12447780,-0.88031377,0.83262199,-0.12531685,0.00000000,0.00000000,0.00000000,0.49948725,-0.07822713,-0.72351727,0.83827699,0.21575805,-0.93463216,1.02029196,0.61671291,-0.93456769,1.15025618,0.94622937,-0.86407465,0.36349156,0.64319223,-0.96429868,0.89302238,1.06457422,-1.09894328,1.16228355,0.96717661,-1.05743791,1.22357126,0.82804393,-0.99769292,0.26306737,0.77325491,-0.57695095,0.87251263,1.11335247,-0.70311506,1.14856667,0.94603342,-0.65261446,1.18085690,0.76165065,-0.60086945,0.28059758,0.83045437,-0.21794089,0.86954186,1.04135400,-0.37063809,1.00930384,0.81738825,-0.36313723,0.95571834,0.65055567,-0.33501861,0.33282187,0.86766493,0.09647257,0.76868140,0.97736775,-0.10271999,0.86785503,0.81888277,-0.18493290,0.82269634,0.68253295,-0.20773137
Boar,0.00000000,0.00000000,0.00000000,-0.67944003,-0.01688947,-0.48169647,-1.09029779,0.32966200,-0.64443836,-1.25085562,0.78482621,-0.67170508,-1.38471138,1.14004596,-0.62489591,-0.44756104,0.77081262,-0.67004705,-0.98875150,1.32871330,-0.76349910,-1.30447963,1.12610324,-0.70083136,-1.30389393,0.92363908,-0.61014101,-0.20536922,0.89626691,-0.39310192,-0.84768493,1.35218305,-0.46172708,-1.15100442,1.13148867,-0.42035020,-1.13156006,0.93074410,-0.37535933,-0.14954100,0.93460483,-0.12098816,-0.72532903,1.27069496,-0.17565492,-0.97609899,1.06238056,-0.14486656,-0.97512872,0.87457249,-0.11875232,-0.17995268,0.93534530,0.12237675,-0.67462415,1.16210461,0.03938135,-0.85464821,0.99406242,0.02205169,-0.86396160,0.82545224,0.02897843,0.00000000,0.00000000,0.00000000,0.40646649,0.00980095,-0.49741007,0.75541374,0.24904605,-0.72227362,0.94005928,0.53306931,-0.78427408,1.01921345,0.76981814,-0.79514168,0.39875861,0.43440634,-1.05958564,0.73335833,0.93752299,-1.24206764,0.91971165,0.97138626,-1.18151286,0.95056550,0.85970310,-1.08986050,0.25226549,0.52036553,-0.81583199,0.70107413,0.96096682,-0.98692881,0.90426893,0.93900769,-0.90050892,0.92865692,0.78686142,-0.82061850,0.20031535,0.59614880,-0.56770445,0.66534635,0.97063085,-0.72802541,0.78756944,0.88866147,-0.68469897,0.75608594,0.73276597,-0.63274146,0.17394678,0.66059754,-0.33922200,0.55414917,0.92407433,-0.52068054,0.64381379,0.88924499,-0.55877483,0.61826614,0.76122846,-0.55361061
Boar,0.00000000,0.00000000,0.00000000,-0.14709173,0.45677528,-0.15858147,-0.00144451,0.89716979,-0.32315346,0.35460033,1.15277397,-0.41346977,0.68796609,1.23136545,-0.48312231,0.20177953,0.65421534,-0.71207095,0.47758652,1.21928548,-0.90249206,0.64286446,1.38723408,-0.90256044,0.70280102,1.39544844,-0.85659386,0.55951715,0.49707261,-0.66321895,0.88365588,1.11756788,-0.82304710,0.92842339,1.30372152,-0.75275532,0.88035513,1.29834101,-0.68053415,0.82888842,0.38209891,-0.58639464,1.13150796,0.95354470,-0.66400914,1.04731787,1.13356503,-0.56388314,0.91337886,1.14951783,-0.49006563,0.99945792,0.32457571,-0.50972211,1.13928301,0.77746063,-0.54597426,1.02418401,0.94980181,-0.48364277,0.89950607,0.99376675,-0.42985302,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
