label,h1_0_x,h1_0_y,h1_0_z,h1_1_x,h1_1_y,h1_1_z,h1_2_x,h1_2_y,h1_2_z,h1_3_x,h1_3_y,h1_3_z,h1_4_x,h1_4_y,h1_4_z,h1_5_x,h1_5_y,h1_5_z,h1_6_x,h1_6_y,h1_6_z,h1_7_x,h1_7_y,h1_7_z,h1_8_x,h1_8_y,h1_8_z,h1_9_x,h1_9_y,h1_9_z,h1_10_x,h1_10_y,h1_10_z,h1_11_x,h1_11_y,h1_11_z,h1_12_x,h1_12_y,h1_12_z,h1_13_x,h1_13_y,h1_13_z,h1_14_x,h1_14_y,h1_14_z,h1_15_x,h1_15_y,h1_15_z,h1_16_x,h1_16_y,h1_16_z,h1_17_x,h1_17_y,h1_17_z,h1_18_x,h1_18_y,h1_18_z,h1_19_x,h1_19_y,h1_19_z,h1_20_x,h1_20_y,h1_20_z,h2_0_x,h2_0_y,h2_0_z,h2_1_x,h2_1_y,h2_1_z,h2_2_x,h2_2_y,h2_2_z,h2_3_x,h2_3_y,h2_3_z,h2_4_x,h2_4_y,h2_4_z,h2_5_x,h2_5_y,h2_5_z,h2_6_x,h2_6_y,h2_6_z,h2_7_x,h2_7_y,h2_7_z,h2_8_x,h2_8_y,h2_8_z,h2_9_x,h2_9_y,h2_9_z,h2_10_x,h2_10_y,h2_10_z,h2_11_x,h2_11_y,h2_11_z,h2_12_x,h2_12_y,h2_12_z,h2_13_x,h2_13_y,h2_13_z,h2_14_x,h2_14_y,h2_14_z,h2_15_x,h2_15_y,h2_15_z,h2_16_x,h2_16_y,h2_16_z,h2_17_x,h2_17_y,h2_17_z,h2_18_x,h2_18_y,h2_18_z,h2_19_x,h2_19_y,h2_19_z,h2_20_x,h2_20_y,h2_20_z
Ram,0.00000000,0.00000000,0.00000000,-0.49844879,-0.39106855,0.13440996,-0.60865065,-0.75405238,0.12629879,-0.67963904,-1.06928288,0.04306889,-0.78880513,-1.33283715,-0.03842233,-0.17979280,-1.01567559,0.10879811,-0.43712093,-1.39298142,-0.00401676,-0.56502048,-1.62166762,-0.07633554,-0.66041390,-1.83545889,-0.12480608,-0.07958432,-0.99400465,-0.07497390,-0.38302510,-1.46082765,-0.22938669,-0.60295707,-1.73744303,-0.31093395,-0.74741686,-1.95222655,-0.35936538,-0.08190641,-0.91058652,-0.25996831,-0.66755053,-1.25134431,-0.45003943,-1.04571706,-1.05441940,-0.43333750,-1.21378723,-0.85903766,-0.37569426,-0.19073861,-0.77028658,-0.43929491,-0.69829230,-1.01945121,-0.56937552,-1.01512363,-0.92278406,-0.54477415,-1.20166465,-0.80053877,-0.50073307,0.00000000,0.00000000,0.00000000,0.30218984,-0.35125919,0.11552425,0.37038494,-0.66172048,0.09494365,0.43604385,-0.86409353,0.00836404,0.50638686,-1.05176105,-0.07171177,-0.22207265,-0.96303668,0.05901467,0.03094595,-1.39042938,-0.07062172,0.19612508,-1.67311161,-0.15709419,0.33464281,-1.88762502,-0.21250363,-0.29471159,-0.95070753,-0.09643790,0.04444370,-1.37482179,-0.22259888,0.26643001,-1.55054202,-0.25312461,0.41836559,-1.65324200,-0.26417634,-0.22195573,-0.88171816,-0.25407562,0.31260491,-1.20886019,-0.36298203,0.47127435,-1.10697540,-0.31045713,0.49976294,-0.99737905,-0.26098611,-0.01728730,-0.78481780,-0.41348486,0.50475756,-0.96791278,-0.45241185,0.56091903,-0.85411126,-0.38649444,0.49633541,-0.73608472,-0.33258848
Ram,0.00000000,0.00000000,0.00000000,-0.46253436,-0.40379080,0.16088284,-0.56157380,-0.76316470,0.16646851,-0.63637675,-1.06644150,0.09051099,-0.74016923,-1.32242874,0.01521836,-0.17971916,-1.01832303,0.14135200,-0.42158656,-1.38574889,0.02875744,-0.54405713,-1.60634096,-0.04935166,-0.63140221,-1.81453177,-0.10484236,-0.07804321,-0.99536526,-0.05618940,-0.38370046,-1.44390886,-0.22656015,-0.60207023,-1.72291880,-0.32681401,-0.74138355,-1.93902201,-0.38772883,-0.07839667,-0.90646865,-0.25228228,-0.65354625,-1.24333093,-0.44517057,-1.02428148,-1.04752358,-0.42436675,-1.18800252,-0.86104795,-0.36350229,-0.17546619,-0.75868709,-0.44093138,-0.68837589,-1.00778748,-0.56791697,-0.99919252,-0.91021579,-0.53525734,-1.17888759,-0.79149236,-0.48469961,0.00000000,0.00000000,0.00000000,0.36902756,-0.34082064,0.10301596,0.44167132,-0.64044818,0.08821035,0.49909273,-0.83984201,0.00999811,0.55886029,-1.03025095,-0.06118328,-0.20521173,-0.96232471,0.07968821,0.04419594,-1.37947438,-0.03459682,0.20198410,-1.66427605,-0.11577457,0.32834521,-1.87697798,-0.17148013,-0.29573463,-0.95265146,-0.07068390,-0.00152851,-1.37845180,-0.17988182,0.20339512,-1.57712457,-0.20890158,0.34182445,-1.70628411,-0.22176080,-0.23656367,-0.88626071,-0.22729649,0.22996193,-1.25257354,-0.32691275,0.38679779,-1.23453077,-0.29335067,0.42576814,-1.19714151,-0.26421527,-0.03352157,-0.78860923,-0.38727858,0.47392566,-0.98768546,-0.42877475,0.52919567,-0.89823182,-0.37664066,0.47304364,-0.79581722,-0.33693114
Ram,0.00000000,0.00000000,0.00000000,-0.47017484,-0.39380846,0.15594211,-0.58949306,-0.75887710,0.14896437,-0.66499169,-1.06466955,0.06047631,-0.76815647,-1.32433106,-0.02575693,-0.18854197,-1.02063660,0.11528644,-0.43799904,-1.40836709,0.00310776,-0.55779492,-1.63561476,-0.06968890,-0.64649717,-1.84996239,-0.12098933,-0.08804732,-0.99245883,-0.08528276,-0.39775129,-1.45270733,-0.23983438,-0.62373926,-1.73149705,-0.31987318,-0.76877318,-1.94992763,-0.37113096,-0.09032258,-0.90012051,-0.28536961,-0.66083975,-1.25373058,-0.46593381,-1.03473345,-1.06010842,-0.43303863,-1.19331172,-0.86726908,-0.36951978,-0.18858762,-0.75062258,-0.48003185,-0.66972797,-1.02263641,-0.60799097,-0.98487038,-0.93633149,-0.57738017,-1.16471254,-0.81643530,-0.53065513,0.00000000,0.00000000,0.00000000,0.41532644,-0.33961918,0.05241951,0.45929897,-0.62752362,0.01188862,0.47060984,-0.82232458,-0.08526512,0.50017837,-1.00791915,-0.17051392,-0.20417051,-0.95888373,0.01785607,0.00735309,-1.37405989,-0.13599295,0.16927287,-1.66469517,-0.24211517,0.31228609,-1.88320795,-0.31022710,-0.30783345,-0.94467402,-0.11326762,-0.00421165,-1.36830892,-0.27221861,0.22486327,-1.54351739,-0.31901310,0.37802429,-1.64918070,-0.33422517,-0.26460160,-0.88173644,-0.25393242,0.27259070,-1.19631058,-0.39887352,0.43501661,-1.08425277,-0.36589634,0.45796790,-0.97079251,-0.32191317,-0.07900166,-0.79710135,-0.40241618,0.47487678,-0.95812802,-0.47721555,0.54549861,-0.83748106,-0.43682661,0.48713765,-0.72525794,-0.39624955
Ram,0.00000000,0.00000000,0.00000000,-0.51478824,-0.40324769,0.13043630,-0.63612460,-0.77060200,0.11222991,-0.71157132,-1.07120806,0.01593715,-0.78444056,-1.32995658,-0.07788139,-0.19344373,-1.02656941,0.09349580,-0.43600376,-1.39094270,-0.03302850,-0.53421826,-1.59552416,-0.12625949,-0.59774571,-1.80540920,-0.19180604,-0.06943950,-0.99280850,-0.09751631,-0.40242256,-1.42799936,-0.26743032,-0.60697638,-1.71436545,-0.37621248,-0.73313330,-1.94429804,-0.45062532,-0.03825821,-0.89139182,-0.28902875,-0.59809501,-1.20176021,-0.48045610,-0.97695229,-1.01923995,-0.46994459,-1.15588386,-0.83633689,-0.42254590,-0.11634302,-0.74491700,-0.47726903,-0.57388749,-0.99570605,-0.60697279,-0.90826669,-0.93044699,-0.58732857,-1.11523637,-0.83302838,-0.55101992,0.00000000,0.00000000,0.00000000,0.37833994,-0.32989451,0.05472519,0.39350412,-0.64044964,0.01484412,0.39310760,-0.83995713,-0.08206433,0.41169963,-1.01685161,-0.16941168,-0.27590328,-0.93569821,0.00143233,-0.06033757,-1.37198859,-0.16462175,0.11378991,-1.66253489,-0.28002211,0.25797480,-1.89284086,-0.36071559,-0.36196741,-0.92298295,-0.13069836,0.00044702,-1.31335741,-0.31571631,0.23267484,-1.36309930,-0.36186527,0.33294948,-1.37815871,-0.37608008,-0.29545327,-0.86953062,-0.27118957,0.26808157,-1.15352318,-0.43622114,0.43233277,-0.99208517,-0.38619987,0.41294182,-0.86079499,-0.33057397,-0.10469591,-0.80237389,-0.41853836,0.46273420,-0.95613418,-0.50507869,0.54856408,-0.82062635,-0.45892073,0.47115714,-0.70857454,-0.41494779
Ram,0.00000000,0.00000000,0.00000000,-0.52414829,-0.37440342,0.10455008,-0.64858381,-0.75086105,0.07081603,-0.72278101,-1.05993302,-0.03555891,-0.79933031,-1.32762245,-0.14027783,-0.17991122,-1.02716264,0.03076510,-0.39210059,-1.43696870,-0.11128481,-0.47228378,-1.67783997,-0.20887164,-0.51609481,-1.90975163,-0.27919100,-0.03526034,-0.98719036,-0.15560171,-0.38212524,-1.43668493,-0.35256297,-0.59527692,-1.73249039,-0.47498287,-0.72485294,-1.96673809,-0.55730605,0.00978433,-0.88142707,-0.33993681,-0.56767971,-1.21417388,-0.55456862,-0.96819312,-1.03425989,-0.53922843,-1.16798362,-0.85185704,-0.48565196,-0.05853376,-0.73065565,-0.52223951,-0.55122448,-0.98128411,-0.67741175,-0.90344526,-0.91940327,-0.66507185,-1.13102400,-0.82847621,-0.62913954,0.00000000,0.00000000,0.00000000,0.02591816,-0.34657189,0.11199351,0.02490646,-0.69350459,0.06811625,0.15074613,-0.90760318,-0.04026416,0.28746386,-1.06892894,-0.14980558,-0.31557300,-0.94034762,-0.03075617,-0.05640313,-1.41567065,-0.21310607,0.13880014,-1.70268296,-0.32962624,0.29072500,-1.92533222,-0.40817992,-0.33074283,-0.92432924,-0.19032770,0.14811361,-1.30292007,-0.38200584,0.38451288,-1.29641339,-0.42416931,0.44660755,-1.27260938,-0.43805005,-0.21534358,-0.86435651,-0.34774940,0.37734417,-1.14084710,-0.50234756,0.53576903,-0.98101522,-0.44217244,0.49285923,-0.85757088,-0.38330164,-0.00033686,-0.78977465,-0.50579439,0.55480579,-0.95313437,-0.57059994,0.62743331,-0.81683145,-0.50632234,0.52919108,-0.70795671,-0.45008054
Ram,0.00000000,0.00000000,0.00000000,-0.50912295,-0.38068634,0.08418711,-0.63627116,-0.77006859,0.04771511,-0.71676109,-1.09229162,-0.05267704,-0.80431420,-1.36924950,-0.15360263,-0.16776384,-1.02880104,0.00101688,-0.39482575,-1.44995066,-0.14543666,-0.48557973,-1.69743280,-0.24255350,-0.53876434,-1.93204722,-0.30991471,-0.02966008,-0.98525073,-0.16852679,-0.37489795,-1.45022306,-0.36252613,-0.59409419,-1.74355054,-0.48132337,-0.73159481,-1.97985911,-0.55936720,0.00945761,-0.88261584,-0.33628555,-0.57019985,-1.23133433,-0.56497894,-0.97368696,-1.05085369,-0.56945966,-1.17077618,-0.86626777,-0.52447846,-0.06556785,-0.73181398,-0.49941254,-0.57198887,-0.98428175,-0.66633025,-0.93394801,-0.92143622,-0.66380763,-1.16485640,-0.83058030,-0.63261125,0.00000000,0.00000000,0.00000000,0.33570421,-0.31422847,0.04228394,0.37142154,-0.63661581,0.00302455,0.40537702,-0.83567575,-0.09075094,0.44402568,-1.00588239,-0.17584144,-0.24797809,-0.95425521,0.00137598,-0.01899282,-1.39059288,-0.16286156,0.16375269,-1.68171516,-0.27591493,0.30885748,-1.91173849,-0.35121510,-0.31748063,-0.93984388,-0.12609331,0.03568722,-1.34261261,-0.30289678,0.26468399,-1.45960705,-0.35445412,0.37460910,-1.53844011,-0.37259684,-0.24703200,-0.88037047,-0.26420566,0.31921785,-1.16346966,-0.42859287,0.48056099,-1.01497967,-0.39135382,0.46264346,-0.89590801,-0.33948523,-0.05293132,-0.80052782,-0.41013818,0.50961797,-0.95036029,-0.49783894,0.58814771,-0.82000627,-0.45648306,0.50924677,-0.71191913,-0.41231733
Ram,0.00000000,0.00000000,0.00000000,-0.51991327,-0.36720925,0.08555656,-0.63948990,-0.74946112,0.05661907,-0.71161197,-1.06532803,-0.03702690,-0.79498014,-1.33223934,-0.12897719,-0.16061367,-1.02396329,0.02664945,-0.37773041,-1.42109145,-0.11080997,-0.47210487,-1.66586860,-0.20484093,-0.53104698,-1.89235568,-0.27027171,-0.04023033,-0.98912178,-0.14149073,-0.35642382,-1.45124014,-0.32611711,-0.58238988,-1.74945679,-0.43715037,-0.72257711,-1.98809487,-0.50737553,-0.02233807,-0.89405354,-0.30927534,-0.58668825,-1.24756875,-0.52341448,-0.97333864,-1.06655089,-0.51582922,-1.14095289,-0.88305225,-0.46127210,-0.11266063,-0.74602343,-0.47421754,-0.62682845,-1.00124357,-0.62761074,-0.96483982,-0.92662125,-0.61413361,-1.15530787,-0.81745396,-0.57385321,0.00000000,0.00000000,0.00000000,0.32706522,-0.32088282,0.07202993,0.34302858,-0.64369163,0.05654815,0.36358144,-0.84877590,-0.01707314,0.41193407,-1.03047505,-0.08284686,-0.23375160,-0.96196074,0.05844046,0.00853773,-1.37164626,-0.08200743,0.17569878,-1.66002196,-0.17854152,0.30668610,-1.87878176,-0.23673628,-0.29106245,-0.95372012,-0.07550221,0.00318028,-1.37973196,-0.21081015,0.20117366,-1.61511298,-0.25734151,0.33062948,-1.78603968,-0.27598149,-0.22893636,-0.89376567,-0.21945614,0.31398558,-1.19890866,-0.35999107,0.46139714,-1.08823241,-0.33763443,0.45767907,-0.98086314,-0.29411139,-0.04233400,-0.80804365,-0.36787672,0.50915776,-0.97565342,-0.44600148,0.57458475,-0.85717088,-0.40870772,0.50069361,-0.74342280,-0.36410501
Ram,0.00000000,0.00000000,0.00000000,-0.47612446,-0.38254272,0.16512541,-0.58513957,-0.73648037,0.16764990,-0.67579921,-1.02727149,0.08296900,-0.78101574,-1.27283249,-0.00015505,-0.17063225,-1.02041573,0.14185575,-0.40067733,-1.40059010,0.03137617,-0.50496164,-1.63649359,-0.04292365,-0.57624193,-1.84613302,-0.09490501,-0.08014147,-0.99476117,-0.06346302,-0.38387109,-1.46861700,-0.23942832,-0.61555225,-1.75640158,-0.34067709,-0.76208990,-1.97224196,-0.39811040,-0.09779469,-0.90977419,-0.26512370,-0.66653651,-1.27318844,-0.45223533,-1.01430296,-1.07599783,-0.41319455,-1.14692323,-0.89002710,-0.33646143,-0.21317881,-0.76962646,-0.46034180,-0.73375394,-1.04124890,-0.57132542,-1.02691661,-0.94215049,-0.51917672,-1.17372551,-0.80902738,-0.45312149,0.00000000,0.00000000,0.00000000,0.35851171,-0.33664461,0.08406466,0.40381836,-0.65425802,0.07825163,0.42123357,-0.86553072,0.01401513,0.45070074,-1.06552084,-0.04473783,-0.21105017,-0.97117061,0.08183363,0.03976547,-1.38547499,-0.03173252,0.19883226,-1.67200686,-0.11521464,0.30974127,-1.87937560,-0.17138494,-0.29116875,-0.95528434,-0.05150334,0.01232782,-1.36824205,-0.16298453,0.19456374,-1.54641513,-0.20395481,0.29643570,-1.64692736,-0.22371141,-0.23511599,-0.89067170,-0.19268818,0.21994522,-1.23129101,-0.30706361,0.35256898,-1.19522928,-0.29928490,0.36776913,-1.13221795,-0.28338820,-0.04580505,-0.79995829,-0.33621833,0.45413514,-0.97122176,-0.40292353,0.50953007,-0.86225248,-0.37455012,0.44904448,-0.73694587,-0.34598885
Ram,0.00000000,0.00000000,0.00000000,-0.25651905,-0.45203979,0.22684762,-0.35492026,-0.80933742,0.24569473,-0.51472403,-1.08418239,0.16643139,-0.68175566,-1.30394567,0.08186925,-0.05084715,-1.00098248,0.16959734,-0.25639761,-1.41598260,0.06550242,-0.37314880,-1.67118441,0.00897240,-0.45400908,-1.90106056,-0.02945569,-0.02605102,-0.99765656,-0.06326711,-0.35971822,-1.51574262,-0.23423056,-0.61826783,-1.81478828,-0.31294463,-0.78806085,-2.03626102,-0.35246996,-0.09763483,-0.92703989,-0.28606036,-0.68628449,-1.31703491,-0.46472743,-1.03426955,-1.11847107,-0.41672184,-1.16770668,-0.92937679,-0.33531457,-0.25660056,-0.80030274,-0.49583030,-0.78550405,-1.08870027,-0.59493875,-1.06269685,-0.98085685,-0.53245570,-1.18826720,-0.84470210,-0.46118770,0.00000000,0.00000000,0.00000000,0.35070970,-0.35121143,0.11804992,0.37010095,-0.68325679,0.12526297,0.36430920,-0.89783516,0.06599306,0.40306548,-1.08590721,0.00840329,-0.14416908,-0.99745781,0.11106305,0.13246095,-1.36417453,0.01193947,0.26475287,-1.62371119,-0.05767094,0.33412554,-1.82527415,-0.11358483,-0.22525684,-0.97380298,-0.03109856,0.19032553,-1.27189694,-0.13726536,0.32583373,-1.30554078,-0.15132347,0.33383991,-1.31370208,-0.16024849,-0.18567763,-0.90032826,-0.17970897,0.36196212,-1.11495156,-0.29383684,0.45191936,-0.96560423,-0.24802831,0.39770271,-0.83341340,-0.20645633,-0.04726740,-0.80179946,-0.32792327,0.47545438,-0.94101014,-0.38983326,0.50573913,-0.80531152,-0.34641921,0.39957963,-0.67177064,-0.30859116
Ram,0.00000000,0.00000000,0.00000000,-0.30017916,-0.43544118,0.17995105,-0.44861078,-0.81183488,0.16797184,-0.65406705,-1.10627314,0.07448917,-0.82341881,-1.35957735,-0.01566292,-0.11672327,-1.02201893,0.07675900,-0.45087742,-1.43789646,-0.05376228,-0.63657758,-1.67603062,-0.11384286,-0.75487448,-1.88608472,-0.14873505,-0.07207652,-0.98801181,-0.13651974,-0.44089352,-1.51550392,-0.35132108,-0.69304461,-1.82791039,-0.45557038,-0.84698192,-2.05820022,-0.50679580,-0.13717011,-0.89383507,-0.33746843,-0.78447395,-1.27768329,-0.55535808,-1.15789422,-1.08404615,-0.51918848,-1.30749645,-0.89893631,-0.43631062,-0.31575251,-0.75068598,-0.52502669,-0.88577704,-1.03070056,-0.64626741,-1.17376388,-0.93443674,-0.59182310,-1.30943982,-0.81096288,-0.52081560,0.00000000,0.00000000,0.00000000,0.26553270,-0.29720718,0.13017416,0.32349283,-0.61914055,0.15835161,0.25991552,-0.84794206,0.10910081,0.17801076,-1.05768231,0.05807492,0.22271208,-0.95407895,0.17793855,0.33070268,-1.34714355,0.09825574,0.30616644,-1.59143797,0.04096075,0.25661029,-1.78838284,-0.00189577,0.14670317,-0.98906801,0.01492156,0.32190690,-1.46636074,-0.10546985,0.29969662,-1.77870016,-0.18513502,0.25386241,-2.00323221,-0.22791967,0.09169435,-0.95247019,-0.15282391,0.19237754,-1.33121731,-0.31660825,-0.02042611,-1.19754045,-0.34140702,-0.20267259,-1.02404980,-0.31539866,0.07721963,-0.85662886,-0.31337032,0.14222770,-1.06348942,-0.44113620,-0.02309303,-0.99087294,-0.44638842,-0.17624112,-0.86981553,-0.42096347
