epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3947,1.85127,4.00679,1.70225,0.0007,0.14167,0.09568,0.02909,1.20073,4.69625,1.35582,0.00023331,0.00023331,0.00023331
2,129.3,1.24109,2.29928,1.21658,0.004,0.7642,0.42963,0.20552,1.27375,4.46829,1.2823,0.000461965,0.000461965,0.000461965
3,195.582,1.17094,1.88102,1.18715,0.00446,1,0.7392,0.40246,1.17133,3.88469,1.15925,0.000674488,0.000674488,0.000674488
4,260.218,1.17896,1.68052,1.15704,0.00437,1,0.81469,0.46348,1.36827,3.48825,1.31714,0.00087088,0.00087088,0.00087088
5,322.839,1.15861,1.44229,1.15738,0.9298,0.67609,0.96463,0.5738,1.40133,2.59804,1.34042,0.000964348,0.000964348,0.000964348
6,382.694,1.15755,1.38959,1.16472,0.98888,0.98333,0.99283,0.63842,1.33104,1.65567,1.32513,0.000927685,0.000927685,0.000927685
7,442.224,1.08724,1.29205,1.13199,0.98403,0.99787,0.995,0.69648,1.07951,1.19546,1.1667,0.000891022,0.000891022,0.000891022
8,501.624,1.11043,1.19977,1.12545,0.97473,0.99058,0.995,0.71711,1.01683,1.24849,1.11793,0.000854359,0.000854359,0.000854359
9,561.25,1.06999,1.11319,1.11437,0.9769,1,0.995,0.68063,1.15764,1.24009,1.17253,0.000817696,0.000817696,0.000817696
10,619.596,1.03476,1.05257,1.11787,0.98957,0.99921,0.995,0.57278,1.4977,1.10302,1.41914,0.000781033,0.000781033,0.000781033
11,678.345,0.99848,0.93831,1.0797,0.99113,1,0.995,0.68282,1.19174,0.95322,1.21341,0.00074437,0.00074437,0.00074437
12,737.651,1.03673,0.95805,1.11447,0.98538,1,0.995,0.69521,1.13323,0.89787,1.1444,0.000707707,0.000707707,0.000707707
13,796.983,1.02399,0.88689,1.08374,0.98508,0.99699,0.995,0.67571,1.18012,0.93151,1.19886,0.000671044,0.000671044,0.000671044
14,856.141,1.03928,0.88738,1.08528,0.99143,1,0.995,0.67437,1.2326,0.8274,1.18538,0.000634381,0.000634381,0.000634381
15,914.528,1.01024,0.86215,1.0811,0.99611,0.99959,0.995,0.68841,1.17618,0.80439,1.16273,0.000597718,0.000597718,0.000597718
16,972.494,1.0014,0.81065,1.08021,0.99136,1,0.995,0.69975,1.13624,0.78078,1.14791,0.000561055,0.000561055,0.000561055
17,1030.35,0.95372,0.78819,1.0637,0.99274,1,0.995,0.70959,1.05313,0.79783,1.114,0.000524392,0.000524392,0.000524392
18,1088,0.95875,0.77495,1.04968,0.99541,1,0.995,0.67236,1.19591,0.78045,1.16711,0.000487729,0.000487729,0.000487729
19,1145.99,0.9768,0.77587,1.07119,0.99703,1,0.995,0.67133,1.24026,0.75467,1.24279,0.000451066,0.000451066,0.000451066
20,1204.14,0.95972,0.73447,1.066,0.99505,1,0.995,0.69944,1.14904,0.70243,1.14987,0.000414403,0.000414403,0.000414403
21,1260.96,0.87263,0.74519,1.05676,0.9921,1,0.995,0.66717,1.24627,0.73988,1.21788,0.00037774,0.00037774,0.00037774
22,1317.67,0.87038,0.72921,1.06482,0.99463,1,0.995,0.73145,1.06672,0.68422,1.12097,0.000341077,0.000341077,0.000341077
23,1374.44,0.8605,0.71229,1.07275,0.99397,1,0.995,0.74506,0.9901,0.66094,1.08284,0.000304414,0.000304414,0.000304414
24,1431.33,0.81919,0.67658,1.02654,0.99543,1,0.995,0.76226,0.93068,0.64422,1.07131,0.000267751,0.000267751,0.000267751
25,1488.33,0.81146,0.67019,1.02692,0.99551,1,0.995,0.71702,1.06687,0.65202,1.11404,0.000231088,0.000231088,0.000231088
26,1545.62,0.8185,0.65009,1.02379,0.99451,1,0.995,0.75931,0.90567,0.62174,1.0597,0.000194425,0.000194425,0.000194425
27,1604,0.79159,0.62849,1.0133,0.99626,1,0.995,0.75624,0.96486,0.59778,1.06418,0.000157762,0.000157762,0.000157762
28,1661.9,0.79598,0.61863,1.02016,0.99527,1,0.995,0.76159,0.93333,0.59944,1.0585,0.000121099,0.000121099,0.000121099
29,1721.41,0.80524,0.61106,1.01665,0.99488,1,0.995,0.75753,0.93714,0.59532,1.04969,8.4436e-05,8.4436e-05,8.4436e-05
30,1779.23,0.76447,0.59064,1.00902,0.99534,1,0.995,0.76197,0.92303,0.58915,1.04121,4.7773e-05,4.7773e-05,4.7773e-05
