epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8338,1.82241,3.11482,2.13981,0.00333,1,0.56857,0.22026,2.38124,3.42034,3.14812,2e-05,2e-05,2e-05
2,38.4129,1.26412,3.08377,1.45675,0.00333,1,0.995,0.50446,0.45874,2.71789,0.92489,5.8812e-05,5.8812e-05,5.8812e-05
3,41.1388,0.61503,2.75059,1.04324,0.00333,1,0.995,0.93254,0.36254,2.71268,0.92568,9.604e-05,9.604e-05,9.604e-05
4,45.3435,0.57124,2.52023,0.96263,0.00333,1,0.995,0.92654,0.38186,2.70948,0.90931,0.000131684,0.000131684,0.000131684
5,48.0811,0.52617,2.33517,0.92673,0.00333,1,0.995,0.90253,0.35962,2.68962,0.89899,0.000165744,0.000165744,0.000165744
6,50.6974,0.55592,2.10215,0.96851,0.00333,1,0.995,0.87572,0.39979,2.6512,0.90465,0.00019822,0.00019822,0.00019822
7,53.3542,0.49745,1.85309,0.90393,0.00333,1,0.995,0.78128,0.61248,2.63239,0.94207,0.000229112,0.000229112,0.000229112
8,55.9201,0.64628,1.69701,0.97053,0.00333,1,0.995,0.79787,0.55341,2.53749,0.93903,0.00025842,0.00025842,0.00025842
9,58.7901,0.64188,1.62071,0.98078,0.00333,1,0.995,0.81218,0.50587,2.49877,0.93332,0.000286144,0.000286144,0.000286144
10,61.4256,0.68693,1.49912,0.93691,0.00333,1,0.995,0.85191,0.47743,2.47872,0.93638,0.000312284,0.000312284,0.000312284
11,64.022,0.66067,1.35333,0.93086,0.00333,1,0.995,0.82079,0.48392,2.46206,0.93461,0.00033684,0.00033684,0.00033684
12,66.836,0.61668,1.3607,0.9411,0.00333,1,0.995,0.80216,0.5904,2.46225,0.94162,0.000359812,0.000359812,0.000359812
13,71.402,0.52973,1.19237,0.90339,0.00333,1,0.995,0.81316,0.57571,2.44817,0.93501,0.0003812,0.0003812,0.0003812
14,77.0343,0.61425,1.16511,0.90935,0.00333,1,0.995,0.87258,0.519,2.44289,0.91941,0.000401004,0.000401004,0.000401004
15,79.6018,0.51825,1.14497,0.91603,0.00333,1,0.995,0.87722,0.44901,2.43014,0.91155,0.000419224,0.000419224,0.000419224
16,82.0625,0.56547,1.06748,0.90855,0.00333,1,0.995,0.90478,0.39512,2.42462,0.91036,0.00043586,0.00043586,0.00043586
17,84.7928,0.54229,1.01652,0.91036,0.00333,1,0.995,0.89067,0.43119,2.37202,0.91479,0.000450912,0.000450912,0.000450912
18,87.2441,0.60136,1.0954,0.92547,0.00333,1,0.995,0.9096,0.40812,2.26286,0.91276,0.00046438,0.00046438,0.00046438
19,89.6445,0.54576,0.97876,0.91668,0.9123,1,0.995,0.94018,0.34799,2.09988,0.90355,0.000476264,0.000476264,0.000476264
20,92.0326,0.49662,1.06768,0.94067,0.94294,1,0.995,0.92438,0.35384,1.93354,0.90104,0.000486564,0.000486564,0.000486564
21,94.4479,0.53404,0.99787,0.89289,0.95031,1,0.995,0.93562,0.38572,1.85317,0.90214,0.00049528,0.00049528,0.00049528
22,96.8726,0.554,0.9592,0.89891,0.94847,1,0.995,0.9096,0.47415,1.88133,0.9176,0.000502412,0.000502412,0.000502412
23,100.821,0.49913,0.92958,0.90375,0.93721,1,0.995,0.88189,0.51174,2.00196,0.93283,0.00050796,0.00050796,0.00050796
24,103.276,0.53113,0.95707,0.88481,0.94351,1,0.995,0.85126,0.57516,2.00881,0.95429,0.000511924,0.000511924,0.000511924
25,105.727,0.5464,0.92962,0.91649,0.96205,1,0.995,0.8955,0.49637,1.84183,0.92301,0.000514304,0.000514304,0.000514304
26,107.981,0.50146,0.89888,0.87125,0.97359,1,0.995,0.89708,0.44377,1.66133,0.90188,0.0005151,0.0005151,0.0005151
27,110.266,0.51283,0.93643,0.88768,0.97238,1,0.995,0.93666,0.38761,1.63864,0.89731,0.000514312,0.000514312,0.000514312
28,112.525,0.53281,0.93573,0.86312,0.97238,1,0.995,0.93666,0.38761,1.63864,0.89731,0.00051194,0.00051194,0.00051194
29,114.955,0.54402,0.86705,0.85617,0.96982,1,0.995,0.93167,0.40645,1.67861,0.903,0.000507984,0.000507984,0.000507984
30,117.351,0.4778,0.9071,0.86878,0.97218,1,0.995,0.90658,0.42308,1.65391,0.91421,0.000502444,0.000502444,0.000502444
31,119.868,0.50955,0.94267,0.92703,0.97218,1,0.995,0.90658,0.42308,1.65391,0.91421,0.00049532,0.00049532,0.00049532
32,122.354,0.52713,0.90102,0.85616,0.98039,1,0.995,0.89968,0.40208,1.5089,0.90636,0.000486612,0.000486612,0.000486612
33,124.649,0.53862,0.91322,0.88644,0.98624,1,0.995,0.87961,0.43749,1.36451,0.90702,0.00047632,0.00047632,0.00047632
34,127.005,0.50417,0.84274,0.8762,0.98624,1,0.995,0.87961,0.43749,1.36451,0.90702,0.000464444,0.000464444,0.000464444
35,129.323,0.48389,0.84427,0.84811,0.9894,1,0.995,0.87438,0.49373,1.22869,0.91187,0.000450984,0.000450984,0.000450984
